Product Name,Product_type,Product Locality,Product Rating,Price,Name
Swadisht Restaurant,"Budget Eats
                                    Cost for two: ₹300","East Jyoti Nagar, New Delhi.",3.9,842 visits,₹120 ₹150 ₹180 ₹199 ₹220 ₹220 ₹210 ₹199 ₹199 ₹150 ₹189 ₹140 ₹170 ₹249 ₹299 ₹499 ₹60 ₹80 ₹80 ₹80 ₹80 ₹250 ₹250 ₹250 ₹190 ₹190 ₹210 ₹190 ₹190 ₹190 ₹150 ₹139 ₹139 ₹149 ₹170 ₹180 ₹170 ₹99 ₹135 ₹180 ₹180 ₹150 ₹180 ₹180 ₹299 ₹359 ₹357 ₹229 ₹210 ₹365 ₹189 ₹168 ₹145 ₹160 ₹189 ₹240 ₹199 ₹199 ₹245 ₹199 ₹245 ₹18 ₹50 ₹14 ₹40 ₹15 ₹30 ₹30 ₹40 ₹70 ₹60 ₹60 ₹80 ₹50 ₹50 ₹60 ₹50 ₹50 ₹50 ₹20 ₹100 ₹110 ₹120 ₹140 ₹160 ₹120 ₹140 ₹99 ₹199 ₹160 ₹199 ₹180 ₹80 ₹199 ₹160 ₹120 ₹140 ₹170 ₹150 ₹130 ₹50 ₹40 ₹70 ₹70 ₹60 ₹90 ₹10 ₹80 ₹70 ₹70 ₹40,
Guru ji food corner,"Budget Eats
                                    Cost for two: ₹300","Shahdara, Preet Vihar, New Delhi.",4.0,15 visits,₹149 ₹120 ₹130 ₹140 ₹110 ₹120 ₹149 ₹149 ₹159 ₹80 ₹90 ₹99 ₹60 ₹70 ₹80 ₹90 ₹100 ₹110 ₹99 ₹60 ₹100 ₹80 ₹90 ₹80 ₹90 ₹99 ₹110 ₹60 ₹60 ₹70 ₹80 ₹100 ₹60 ₹90,White Sauce Pasta Boondi Raita Mixed Raita Pineapple Raita Plain Raita Mint Raita White Sauce Pasta Red Sauce Pasta Mixed Sauce Pasta Veg Garlic Bread Cheese Garlic Bread Paneer Garlic Bread Plain Maggi Masala Maggi Double Masala Maggi Vegetable Maggi Soya Momos [12 Pieces] Paneer Momos [12 Pieces] Spring Roll Aloo Tikki Burger Paneer Burger Cheese Burger Double Aloo Tikki Burger Veg Sandwich Veg Grilled Sandwich Cheese Grilled Sandwich Paneer Sandwich Aloo Paratha Onion Paratha Aloo Pyaaz Paratha Paneer Paratha Mixed Paratha Gobhi Paratha Paneer Onion Paratha
Kulcha ragda,"Delivery Only
                                    Cost for two: ₹200","Uttam Nagar, New Delhi.",5.0,1 visits,₹75.2381 ₹76.1905 ₹122.8571 ₹132.381 ₹139 ₹151.4286 ₹160.9524 ₹170.4762 ₹189.5238 ₹75.2381 ₹160.9524 ₹139 ₹189.5238 ₹132.381 ₹151.4286 ₹122.8571 ₹170.4762 ₹76.1905,
Homefood Company,"Budget Eats
                                    Cost for two: ₹300","Lajpat Nagar, Lajpat Nagar 4, New Delhi.",4.0,77 visits,₹100 ₹100 ₹100 ₹100 ₹100 ₹120 ₹120 ₹120 ₹145 ₹259 ₹349 ₹259 ₹259 ₹279 ₹279 ₹289 ₹259 ₹249 ₹319 ₹319 ₹319 ₹299 ₹329 ₹349 ₹239 ₹239 ₹259 ₹279 ₹279 ₹279 ₹259 ₹259 ₹289 ₹249 ₹269 ₹279 ₹249 ₹279 ₹379 ₹259 ₹279 ₹259 ₹259 ₹100 ₹100 ₹120 ₹100 ₹120 ₹100 ₹120 ₹100 ₹140 ₹149 ₹120 ₹120 ₹120 ₹140 ₹140 ₹140 ₹140 ₹149 ₹229 ₹149 ₹229 ₹145 ₹149 ₹259 ₹249 ₹349 ₹349 ₹349,"Tawa Chapati [Pack Of 5] Tandoori Roti [Pack Of 4] Naan [Pack Of 2] Lachha Parantha [Pack Of 2] Missi Roti [Pack Of 2] Butter Tandoori Roti [Pack Of 4] Butter Naan [Pack Of 2] Pudina Parantha [Pack Of 2] Boondi Raita [500 Ml, 1 Box] Shahi Paneer Make Your Own Thali [Serves 1] Chole Paratha Combo Desi Rajma Paratha Combo Shahi Paneer Paratha Combo Palak Paneer Paratha Combo Paneer Bhurji Paratha Combo Dal Makhani Paratha Combo Dal Tadka Paratha Combo Home Food Thali Special Thali Amritsari Thali Veg Thali Butter Naan Thali Make Your Own Thali [Serves 1] Rajma Punajbi Chole Shahi Paneer Kadhai Paneer Paneer Lababdar Malai Kofta Matar Paneer Palak Paneer Paneer Bhurji Dal Tadka Dal Makhani Dal Maharani Jeera Aloo Paneer Butter Masala Chilli Paneer [500 Ml, 1 Box] Mix Vegetables Kadhai Mushroom Matar Mushroom Palak Mushroom Tawa Chapati [Pack Of 5] Tandoori Roti [Pack Of 4] Butter Tandoori Roti [Pack Of 4] Naan [Pack Of 2] Butter Naan [Pack Of 2] Lachha Parantha [Pack Of 2] Pudina Parantha [Pack Of 2] Missi Roti [Pack Of 2] Aloo Naan [Pack Of 2] Paneer Naan [Pack Of 2] Butter Tawa Chapati [Pack Of 5] Mirchi Parantha [Pack Of 2] Butter Missi Roti [Pack Of 2] Onion Naan [Pack Of 2] Mix Naan [Pack Of 2] Garlic Parantha [Pack Of 2] Garlic Naan [Pack Of 2] Jeera Rice [300 Ml, 1 Box] Veg Pulao [300 Ml, 1 Box] Basmati Rice [300 Ml, 1 Box] Veg Fried Rice [300 Ml, 1 Box] Boondi Raita [500 Ml, 1 Box] Mixed Veg Raita [500 Ml, 1 Box] Dal Makhani + Laccha Paratha Dal Makhani + Tandoori Roti Homefood Thali [2x Coke [250 Ml]] Special Thali [2x Coke [250 Ml]] Amritsari Thali [2x Coke [250 Ml]"
The Good Food Cafe,"Cafe
                                    Cost for two: ₹1200","Pitampura, New Delhi.",4.0,906 visits,₹41 ₹80 ₹80 ₹84 ₹115 ₹159 ₹160 ₹172 ₹199 ₹218 ₹219 ₹229 ₹229 ₹252 ₹299 ₹310 ₹339 ₹344 ₹345 ₹379 ₹379 ₹399 ₹399 ₹429 ₹439 ₹172 ₹229 ₹229 ₹287 ₹399 ₹229 ₹218 ₹219 ₹229 ₹199 ₹252 ₹264 ₹264 ₹264 ₹399 ₹390 ₹436 ₹436 ₹459 ₹482 ₹321 ₹356 ₹229 ₹264 ₹287 ₹310 ₹287 ₹287 ₹310 ₹310 ₹333 ₹310 ₹287 ₹321 ₹344 ₹402 ₹402 ₹402 ₹459 ₹399 ₹459 ₹448 ₹436 ₹436 ₹482 ₹448 ₹448 ₹459 ₹499 ₹499 ₹499 ₹494 ₹489 ₹540 ₹344 ₹379 ₹399 ₹459 ₹459 ₹499 ₹499 ₹494 ₹499 ₹379 ₹369 ₹199 ₹260 ₹310 ₹310 ₹344 ₹219 ₹219 ₹369 ₹329 ₹359 ₹425 ₹399 ₹399 ₹399 ₹409 ₹399 ₹399 ₹209 ₹179 ₹219 ₹229 ₹249 ₹269 ₹119 ₹159 ₹259 ₹249 ₹239 ₹268 ₹239 ₹239 ₹268 ₹239 ₹269 ₹278 ₹356 ₹115 ₹229 ₹332 ₹41 ₹80 ₹84 ₹80 ₹79 ₹91 ₹333 ₹279 ₹219 ₹259 ₹298 ₹310 ₹321 ₹275 ₹356 ₹298 ₹310 ₹439 ₹499 ₹529 ₹699 ₹479 ₹499 ₹459 ₹459 ₹439 ₹439 ₹439 ₹409 ₹439 ₹439 ₹469 ₹459 ₹439 ₹439 ₹469 ₹469 ₹479 ₹439 ₹479 ₹459 ₹459 ₹321 ₹344 ₹344 ₹287 ₹321 ₹321 ₹321 ₹321 ₹310 ₹344 ₹494 ₹413 ₹413 ₹425 ₹425 ₹425 ₹448 ₹448 ₹482 ₹517 ₹699 ₹699 ₹799 ₹999 ₹899 ₹999 ₹160 ₹160 ₹160 ₹160 ₹160 ₹160 ₹57 ₹229 ₹249,"Jumbo Bread (2 Pc) Pizza Base 10"" (2 Pc) Charcoal Bun (2 Pc) Multi Grain Bread (2 Pc) Tortilla Wrap(4Half) Fresh Lime Soda Our Story Is My Fevorite Love Story Protein Poha Masala Omelette Couscous Upma Cold Coffee Scrambled Eggs Peri Peri French Fries Egg White Omelette Hummus With Pita Crispy Honey Chilli Potatoes Paneer Tikka Sandwich Peri-peri Paneer Sandwich Veg Good Food Sandwich Chicken Tikka Sandwich Veg Good Food White Sauce Pasta With Veggies Paneer Tandoori Club Sandwich In Jumbo Bread Lebanese Wrap Mezze Platter (Immunity Booster) Chicken Tandoori Club Sandwich In Jumbo Bread Protein Poha Scrambled Eggs Half Fried Egg [3 Eggs] Spanish Omelette Breakfast Combo Power Breakfast Bowl Couscous Upma Boiled Eggs (4pc) Egg Bhurji [3 Eggs ] Masala Omelette Egg White Omelette Baked Masala Omelette [3eggs ] Baked Omelette [3 Eggs ] Cheese Omelette [3 Eggs ] Quinoa Biryani Veg Biryani Couscous Biryani Veg Chicken Biryani Quinoa Non Veg Biryani Couscous Biryani Non Veg Veg Dimsums (Low Cal) Chicken Dimsums [6pcs] Steamed Rice (Brown) Fried Rice (Brown) Veg. Veg Hakka Noodles Veg Schezwan Noodles Veg Chill Garlic Noodle Egg Fried Rice (Brown) Chicken Hakka Noodles Chicken Fried Rice (Brown) Non Veg Schezwan Noodles Non Veg Chilly Garlic Noodle Margarita Pizza 7'' Farm House Pizza 7'' Baby Corn Tomato & Capcicum Pizza 7'' Cafe Special Pizza 7'' Paneer Tikka Pizza 7'' Spinach Onion Mushroom & Cheese Pizza 7'' Caprese Pizza 7'' Italian Supreme Pizza 7'' Quattro Farmagio Pizza 7'' Peri Peri Paneer Piza 7"""" Chicken Tikka Pizza 7'' Chicken Veggie Surprise Pizza 7'' Quattro Chicken Pizza 7'' Bbq Chicken Pizza 7'' Chicken Sausage Pizza 7'' Cafe Special Pizza Caprese Pizza Italian Supreme Pizza Quattro Farmagio (4 Cheese) Chicken Tikka Pizza (High Protein) Chicken Sausage Pizza Quattro Chicken Pizza Margarita Pizza Farmhouse Pizza Babycorn, Tomato & Capsicum Pizza Paneer Tikka Pizza Spinach, Onion, Musroom & Cheese Pizza Bbq Paneer Pizza Peri Peri Paneer Pizz Chicken Veggie Surprise BBQ Chicken Pizza Live Wok Chicken Tikka Garlic Bread [4pcs] Panini Garlic Bread [4pcs] Cheese Garlic Bread [4pcs] Corn & Cheese Garlic Bread [4pcs] Tomato Onion Capsicum Garlic Bread [4pcs] Mushroom & Tomato Garlic Bread [4pcs] Chilly Cheese Toast [4pcs] Chilli Garlic Toast Baked Chicken Garlic Bread [4pcs] Veg Detox Burgers Chicken Detox Burgers Chicken Huge Good Food Burger [ Served With Fries ] Veg Huge Good Food Burger [ Served With Fries ] Baked Chicken Wrap Chicken Tikka Wrap Chicken Mexican Wrap Chicken Seekh Wrap BBQ Chicken Wrap Mint Mojito Fruit Beer [Non Alcoholic] Anti-Pollution Drink Watermelon & Basil Slush Mango Masala Slush Tropical Mojito Fresh Lime Water Fresh Lime Soda Lemon Ice Tea Punjabiyo Ka Teekha Slush Banana & Strawberry Yogurt Smoothie Banana Peanut Butter Oats Smoothie Chia Seed Shake Mixed Fruit Yoghurt Smoothie Multigrain & Banana Shake. Primium Hot Chocolate Love Berry On 100% Way Protein Shake Hot Turmeric Latte Tortilla Wrap(4Half) Star Plum Cake 150gms Tree Plum Cake 220 Gms Jumbo Bread (2 Pc) Pizza Base 10"" (2 Pc) Multi Grain Bread (2 Pc) Charcoal Bun (2 Pc) Chocolate Sweet Bite Ice Cream Single Scoop Chicken Satay Grilled Chicken Breast With Italian Tomato Sauce Cold Coffee Nutty Butty Hazelnut Cold Coffee Corn Salt & Pepper Crispy Honey Chilli Potatoes Kung Pao Chilli Paneer Dry [8 Pcs] Crispy Chilli Potatoes Crispy Chilli Mushroom Veg Manchurian Dry [8 Pcs ] Paneer Manchurian Dry [8 Pcs] Grilled Chicken Meal Stuffed Chicken Meal With Couscous / Brown Rice Fish In Lemon Butter Garlic Sauce Grilled Fish Meal Portofino Grilled Fish Peri Peri Chicken Meal With Couscous / Brown Rice Chicken In Black Pepper Sauce Chicken In Black Bean Sauce Chilli Chicken Gravy [6pcs] Chicken Green Thai Curry Chicken Red Thai Curry Chicken Manchurian Gravy [6pcs] Chicken Good Food White Sauce Pasta With Veggies Non Veg Penne Rosso With Sauteed Vegetables Chicken Zucchini Lasagna No Maida Chicken Baked Pasta In White Sauce Chicken Good Food Red Sauce Pasta With Veggies Chicken Penne Arrabiata Pasta Non Veg Penne Al Funghi Pasta [mushroom Sauce] Non Veg Spaghetti Aglio E Olio Pasta Spaghetti Alfredo With Grilled Chicken . Non Veg Zoodles Chicken Spagghetti Pesto With Sundried Tomato Baked Vegetables- Veg Baked Vegetables- Non Veg Minestrone Soup- Non-Veg Chicken Wild Mushroom Soup With 2pcs Garlic Bread Chicken Thukpa Meal In A Soup , 2 Dimsums Chicken Clear Soup Chicken Hot & Sour Soup Chicken Manchow Soup With Fried Noodles Chicken Sweet Corn Soup Chicken Talumein Soup Death By Choco Cake Slice With Chocolate Sauce Peri Peri Paneer Sandwich Kung Pao Chilli Meal Non Veg Chilli Cottage Cheese With Onion Tomato & Capsicum Veg Exotic Veggies In Choice Of Sauce Kung Pao Chilli Meal -Veg Thai Green Curry Meal -Veg Veg Thai Red Curry Meal Thai Green Curry Meal - Non Veg Thai Red Curry Meal- Non Veg Non Veg Exotic Veggies In Choice Of Sauce Thai Fish In Black Pepper Sauce Meal Continental Party Combo Pizza Pasta Party Burger Pizza Garlic Bread Party Veg Chinese Party Non Veg Continental Party Non Veg Chinese Party Combo Hugs And Kisses Love And Some Chocolate Love You More Than Chocolate Our Story Is My Fevorite Love Story Sweetend My Life U R So Sweet Sweet Bite Valentine Cookies Valentine Choco Chip Cake"
Dhasu Food Company,"Quick Bites
                                    Cost for two: ₹500","Uttam Nagar, New Delhi.",4.1,343 visits,₹75 ₹145 ₹145 ₹165 ₹185 ₹200 ₹100 ₹180 ₹180 ₹165 ₹225 ₹225 ₹200 ₹200 ₹205 ₹225 ₹205 ₹225 ₹165 ₹145 ₹145 ₹145 ₹180 ₹120 ₹165 ₹200 ₹200 ₹145 ₹200 ₹165 ₹120 ₹100 ₹150 ₹120 ₹180 ₹180 ₹220 ₹310 ₹180 ₹180 ₹180 ₹180 ₹200 ₹220 ₹275 ₹310 ₹290 ₹165 ₹200 ₹200 ₹180 ₹100 ₹149 ₹249 ₹275 ₹310 ₹275 ₹290 ₹275 ₹235 ₹275 ₹235 ₹255 ₹235 ₹255 ₹290 ₹290 ₹325 ₹255 ₹290 ₹275 ₹310 ₹255 ₹290 ₹290 ₹255 ₹255 ₹275 ₹255 ₹175 ₹175 ₹175 ₹120 ₹125 ₹180 ₹175 ₹255 ₹330 ₹400 ₹160 ₹150 ₹185 ₹150 ₹160 ₹170 ₹160 ₹170 ₹180 ₹180 ₹200 ₹190 ₹175 ₹130 ₹130 ₹190 ₹180 ₹200 ₹190 ₹175 ₹175 ₹175 ₹175 ₹25 ₹55 ₹65 ₹75 ₹55 ₹150 ₹15 ₹55 ₹80 ₹80 ₹100 ₹100 ₹130 ₹120 ₹140 ₹150 ₹140,
Delhi Chat Patta Tadka,"Delivery and Takeaway
                                    Cost for two: ₹300","Uttam Nagar, New Delhi.",3.9,307 visits,₹100 ₹120 ₹120 ₹120 ₹150 ₹240 ₹250 ₹220 ₹240 ₹180 ₹200 ₹140 ₹140 ₹140 ₹180 ₹120 ₹180 ₹150 ₹180 ₹150 ₹180 ₹180 ₹220 ₹240 ₹250 ₹250 ₹200 ₹180 ₹200 ₹220 ₹160 ₹120 ₹120 ₹120 ₹120 ₹120 ₹120 ₹250 ₹280 ₹170 ₹10 ₹12 ₹35 ₹50 ₹60 ₹50 ₹50 ₹50 ₹50 ₹80 ₹100 ₹120 ₹120 ₹140 ₹150 ₹180 ₹170 ₹200 ₹190 ₹200 ₹190 ₹140 ₹180 ₹130 ₹150 ₹120 ₹150 ₹100 ₹100 ₹80 ₹25,
Brown Brick Cafe,"Cafe
                                    Cost for two: ₹200","Laxmi Nagar, Preet Vihar, New Delhi.",3.6,729 visits,₹69 ₹89 ₹94 ₹94 ₹109 ₹109 ₹109 ₹119 ₹125 ₹129 ₹149 ₹149 ₹94 ₹125 ₹116 ₹178 ₹94 ₹125 ₹94 ₹125 ₹149 ₹99 ₹109 ₹129 ₹69 ₹89 ₹109 ₹109 ₹109 ₹129 ₹149 ₹119 ₹189,
Food Emirates,"Budget Eats
                                    Cost for two: ₹350","Paschim Vihar, New Delhi.",3.8,22 visits,₹60 ₹90 ₹180 ₹229 ₹229 ₹70 ₹310 ₹320 ₹340 ₹340 ₹340 ₹499 ₹179 ₹179 ₹179 ₹179 ₹179 ₹179 ₹179 ₹179 ₹179 ₹70 ₹70 ₹70 ₹70 ₹199 ₹199 ₹159 ₹199 ₹199 ₹10 ₹15 ₹25 ₹49 ₹49 ₹50 ₹69 ₹69 ₹69 ₹99 ₹199 ₹199 ₹199 ₹199 ₹69 ₹120 ₹120 ₹120 ₹120 ₹120 ₹120 ₹120 ₹120 ₹120 ₹30 ₹60 ₹229 ₹149 ₹249 ₹149 ₹249 ₹180 ₹199 ₹249 ₹249 ₹149 ₹149 ₹199 ₹229 ₹599 ₹229 ₹229 ₹229 ₹229 ₹229 ₹229 ₹229 ₹229 ₹229 ₹229 ₹310 ₹310 ₹310 ₹310 ₹750 ₹159 ₹159 ₹159 ₹159 ₹189 ₹90 ₹90 ₹180 ₹110 ₹90 ₹99 ₹119 ₹119 ₹169 ₹250 ₹250 ₹250 ₹300 ₹300,
Raj Take Away,"Budget Eats
                                    Cost for two: ₹400","Uttam Nagar, New Delhi.",4.0,197 visits,₹55 ₹70 ₹90 ₹96 ₹96 ₹100 ₹110 ₹110 ₹120 ₹120 ₹140 ₹160 ₹200 ₹220 ₹260 ₹260 ₹260 ₹260 ₹700 ₹380 ₹210 ₹220 ₹230 ₹240 ₹380 ₹380 ₹80 ₹480 ₹440 ₹480 ₹460 ₹500 ₹440 ₹480 ₹460 ₹330 ₹220 ₹260 ₹260 ₹340 ₹360 ₹380 ₹360 ₹380 ₹380 ₹400 ₹320 ₹290 ₹270 ₹290 ₹290 ₹280 ₹220 ₹180 ₹180 ₹220 ₹180 ₹200 ₹210 ₹220 ₹260 ₹180 ₹360 ₹380 ₹330 ₹440 ₹290 ₹200 ₹180 ₹180 ₹200 ₹200 ₹260 ₹70 ₹18 ₹22 ₹70 ₹70 ₹80 ₹110 ₹60 ₹55 ₹40 ₹90 ₹96 ₹96 ₹260 ₹220 ₹96 ₹240 ₹240 ₹240 ₹160 ₹170 ₹260 ₹260 ₹280 ₹380 ₹200 ₹240 ₹230 ₹210 ₹240 ₹280 ₹290 ₹280 ₹260 ₹160 ₹210 ₹200 ₹240 ₹120 ₹170 ₹140 ₹110 ₹40 ₹240 ₹170 ₹250 ₹250 ₹250 ₹250 ₹250 ₹250 ₹250,Butter Naan Mirchi Lacha Parantha Garlic Naan Stuffed Naan Chur Chur Naan Aloo Parantha Paneer Naan Dahi Aloo Pyaz Parantha French Fries Veg Chowmein Plain Steamed Rice Chilli Potato Dal Fry Special Bhindi Masala Veg Pulao Matar Pulao Veg Butter Chowmein Chur Chur Naan Combo 1 Chur Chur Naan Combo 2 Naan Combo 1 Naan Combo 2 Naan Combo 3 Naan Combo 4 Tawa Roti Combo 5 Tawa Roti Combo 6 Green Salad Paneer Tikka [8 Pieces] Tandoori Chaap Chilli Chaap Mushroom Chilli Paneer Hariyali Tikka Tandoori Malai Chaap Chillli Chaap Tandoori Achaari Chaap Dal Makhani Dal Fry Yellow Dal Tadka Butter Yellow Dal Tadka Dal Palak Shahi Paneer Matar Paneer Kadhai Paneer Palak Paneer Paneer Butter Masala Paneer Lababdar Paneer Do Pyaza Kadhai Chaap Matar Mushroom Mushroom Masala Mushroom Do Pyaza Paneer Mushroom Masala Mix Veg Jeera Aloo Aloo Matar Aloo Gobi Aloo Gajar Aloo Palak Rajma Masala Chana Masala Special Bhindi Masala Kadhi Pakoda Dhaba Dal Makhani Spicy Masala Paneer Pasanda Paneer Kali Mirch Paneer Bhurji Soya Chaap Gravy Aloo Bean Aloo Tamatar Aloo Soyabean Aloo Baingan Rajma Makhani Pindi Chana Mirchi Lacha Parantha Plain Tandoori Roti Wheat Butter Tandoori Roti Missi Roti Aloo Naan Gobi Naan Paneer Naan Lachha Parantha Butter Naan Plain Naan Garlic Naan Stuffed Naan Chur Chur Naan 2 Aloo Parantha With Dahi And Aachar 1GobhiParantha+1AlooParantha+Dahi+Aachar Mix Naan Rajma With Basmati Rice Chhole With Basmati Rice Kadi Pakoda With Basmati Rice Plain Steamed Rice Jeera Rice Veg Pulao Matar Pulao Veg Biryani Matar Paneer With Basmati Rice Chilli Potato Honey Chilli Potato Veg Manchurian Dry Veg Manchurian Gravy Paneer Manchurian Dry Chilli Paneer Dry Chilli Paneer Gravy Paneer Manchurian Gravy Veg Butter Chowmein Veg Steamed Momos Paneer Steamed Momos Veg Fried Momos Paneer Fried Momos French Fries Veg Raita Boondi Raita Dahi Papad Garlic And Jeera Raita Aloo Raita Aloo Parantha With Dal Makhani Malai Kofta With Naan Veg Chowmein With Veg Momos Paneer Pyaza With Butter Naan Dal Makhani With Aloo Naan Paneer Butter Masala With Naan Veg Manchurian With Fried Rice
Foodiez Hub,"Budget Eats
                                    Cost for two: ₹300","Mukherjee Nagar, North Campus, New Delhi.",4.0,58 visits,₹75 ₹90 ₹100 ₹120 ₹140 ₹150 ₹170 ₹120 ₹140 ₹180 ₹180 ₹430 ₹140 ₹160 ₹170 ₹175 ₹80 ₹80 ₹110 ₹110 ₹140 ₹170 ₹170 ₹180 ₹170 ₹200 ₹210 ₹210 ₹250 ₹100 ₹110 ₹120 ₹120 ₹140 ₹110 ₹120 ₹140 ₹140 ₹180 ₹210 ₹210 ₹140 ₹180 ₹180 ₹220 ₹220 ₹240 ₹250 ₹250 ₹240 ₹65 ₹75 ₹85 ₹85 ₹135 ₹70 ₹80 ₹110 ₹120 ₹140 ₹150 ₹150 ₹170 ₹60 ₹80 ₹80 ₹80 ₹90 ₹90 ₹120 ₹120 ₹120 ₹90 ₹90 ₹90 ₹90 ₹90 ₹100 ₹100,Grilled Burger Chocolate Shake Veg Noodles White Sauce Pasta Red Sauce Pasta Mix Sauce Pasta Chilly Potato Chilly Garlic Fried Rice Veg Manchurian Gravy Chilly Paneer Gravy Sandwich Combo Paneer Kurkure Momos Paneer Steam Momos Paneer Fried Momos Paneer Hot Garlic Momo Paneer Masala Momos Hot N Sour Soup Manchow Soup French Fries Spiral Tornado Peri Peri Fries Cheesy French Fries Chilly Potato Crispy Honey Chilly Potato Veg Manchurian Chilly Mushroom (Seasonal) Crispy Corn Vegetable Salt & Pepper Chilly Paneer Veg Noodles Hakka Noodles Singapuri Noodles Chilly Garlic Noodles Paneer Noodles Veg Fried Rice Chilly Garlic Fried Rice Paneer Garlic Rice Veg Manchurian Gravy Chilly Paneer Gravy Hot Garlic Sauce Chinese Choupsey Burger Combo Sandwich Combo Chilly Potato Combo Manchurian + Noodles Manchurian + Fried Rice Hot Garlic Sauce+rice+coke Chilly Paneer + Noodles Chilly Paneer + Fried Rice Hot Garlic Sauce+noodles+coke Veg Burger Grilled Burger Paneer Burger Cheese Burger Foodiez Maharaja Burger Double Masala Maggie Veg Maggie Foodiez Special Cheesy Maggie White Sauce Pasta Red Sauce Pasta Mix Sauce Pasta Peri Peri Veg Pasta Foodiez Special Cheese Pasta With Garlic Bread Ice Tea Green Apple Mojito Orange Chill Blue Lagoon Virgin Mojito Strawberry Kiss Oreo Shake Kit Kat Shake Choco Pie Shake Pineapple Shake Chocolate Shake Strawberry Shake Mango Shake Cold Coffee Shake Vanilla Shake Butterscotch Shake
Mocktailio Kafe,"Budget Eats
                                    Cost for two: ₹500","Sheikh Sarai Phase 2, Malviya Nagar, New Delhi.",2.6,7 visits,₹90 ₹90 ₹110 ₹130 ₹150 ₹150 ₹160 ₹180 ₹180 ₹220 ₹280 ₹180 ₹190 ₹200 ₹220 ₹250 ₹280 ₹200 ₹70 ₹90 ₹100 ₹130 ₹120 ₹150 ₹100 ₹120 ₹140 ₹180 ₹150 ₹130 ₹100 ₹150 ₹160 ₹170 ₹180 ₹140 ₹120 ₹150 ₹160 ₹70 ₹90 ₹110 ₹90 ₹140 ₹120 ₹160 ₹150 ₹130 ₹160 ₹180 ₹20,Steam Paneer Momos [10 Pieces] Fried Veg Momos [10 Pieces] Fried Paneer Momos [10 Pieces] Oreo Waffle Cheese Garlic Bread [4 Pieces] Naughty Nutella Waffle Oreo Nutella Waffle Margheritta Pizza Alfredo White Sauce Pasta Grilled Veggie Pizza Farm House With Paneer Pizza Margheritta Pizza Onion Pizza Capsicum Pizza Grilled Veggie Pizza Tandoori Paneer Pizza Farm House With Paneer Pizza Corn Pizza Classic Burger Cheese Burger Cheese Peri Peri Burger Cheese Paneer Burger Mexican Burger Tandoori Paneer Burger Salted Fries Peri Peri Fries With Mayo Peri Peri Fries With Yellow Cheese Cheesy Peri Peri Fries Jalapeno Cheese Fries Herby Fries Plain Garlic Bread [4 Pieces] Cheese Garlic Bread [4 Pieces] Cheese Peri Peri Garlic Bread [4 Pieces] Cheese And Corn Garlic Bread [4 Pieces] Cheese Veggies Garlic Bread Tandoori Paneer Wrap Grilled Veggie Wrap Falafal Wrap Wrap Crispy Paneer Wrap Steamed Veg Momos [10 Pieces] Steam Paneer Momos [10 Pieces] Fried Paneer Momos [10 Pieces] Fried Veg Momos [10 Pieces] Spicy Sauce Paneer Momos [10 Pieces] Spicy Sauce Veg Momos [10 Pieces] Creamy Sauce Veg Paneer Momos [10 Pieces] Naughty Nutella Waffle Oreo Waffle Oreo Nutella Waffle Brownie Waffle Masala Chai
